Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText
11,23,,,,,,,"Свв. Амфілохія, єп. Іконійського, і Григорія, єп. Акрагантійського","Святих отців наших Амфілохія, єпископа Іконійського, і Григорія, єпископа Акрагантійського",
11,24,,,,🕃,&,,🕃 Св. вмц. Катерини,🕃 Святої великомучениці Катерини,
11,24,,,,,,,Св. вмч. Меркурія,Святого великомученика Меркурія,
11,25,,,,,,,"Свв. сщмчч. Климента, папи Римського, і Петра, єп. Олександрійського","Святих отців наших і священномучеників Климента, папи Римського, і Петра, єпископа Олександрійського",
11,25,,i,r,,,,Віддання Введення у храм Пресв. Богородиці,У цей день віддається свято Введення у храм Пресвятої Богородиці,
11,26,,,,,,,Прп. Аліпія Стовпника,Преподобного отця нашого Аліпія Стовпника,
11,26,b,,,,,,"Пам’ять посвячення храму Св. вмч. Юрія, що в Києві перед воротами Св. Софії","Пам’ять посвячення храму Святого великомученика Юрія, що в Києві перед воротами Святої Софії",
11,27,,,,,,,Св. вмч. Якова Перського,Святого великомученика Якова Перського,
11,27,,,,,,,Прп. Палладія,Преподобного отця нашого Палладія,
11,28,,,,🕃,&,,🕃  Прпмч. Стефана Нового,🕃 Преподобномученика Стефана Нового,
11,28,,,,,,,Св. мч. Іринарха,Святого мученика Іринарха,
11,29,,,,,,,Св. мч. Парамона,Святого мученика Парамона,
11,29,,,,,,,Св. мч. Філумена,Святого мученика Філумена,
11,29,,,,,,,"Прп. Акакія, що згадується в «Ліствиці»","Преподобного Акакія, що згадується в «Ліствиці»",
11,30,,,r,🕂,+,&dagger;,🕂 Св. всехв. ап. Андрія Первозваного,🕂 Святого всехвального апостола Андрія Первозваного,
12,1,,,,,,,Св. прор. Наума,Святого пророка Наума,
12,2,,,,,,,Св. прор. Аввакума,Святого пророка Аввакума,
12,2,,,,,,,"Блаж. сщмч. Івана Слезюка, єп.","Блаженного священномученика Івана Слезюка, єпископа",
