Читання,Книга,# зач.,,перевірка,Присвята,Примітка
"Лк. 90 зач.; 18, 15-17; 26-30.",Лк.,90,,,Середа 27-го тижня,
"Лк. 91 зач.; 18, 18-27.",Лк.,91,,,Неділя 30-та,
"Лк. 92 зач.; 18, 31-34.",Лк.,92,,,Четвер 27-го тижня,
"Лк. 93 зач.; 18, 35-43.",Лк.,93,,?,Неділя 31-ша,
"Лк. 93 зач.; 18, 35-43.<sup>⁎</sup>",Лк.,93,,?,,
"Лк. 94 зач.; 19, 1-10.",Лк.,94,,,Неділя 32-га,
"Лк. 95 зач.; 19, 12-28.",Лк.,95,,,П'ятниця 27-го тижня,
"Лк. 96 зач.; 19, 29-40; 22, 7-39.",Лк.,96,,,Понеділок сирного тижня,
"Лк. 97 зач.; 19, 37-44.",Лк.,97,,,Понеділок 28-го тижня,
"Лк. 98 зач.; 19, 45-48.",Лк.,98,,,Вівторок 28-го тижня,
"Лк. 99 зач.; 20, 1-8.",Лк.,99,,,Середа 28-го тидня,
"Лк. 100 зач.; 20, 9-18.",Лк.,100,,,Четвер 28-го тижня,
"Лк. 101 зач.; 20, 19-26.",Лк.,101,,,П'ятниця 28-го тижня,
"Лк. 102 зач.; 20, 27-44.",Лк.,102,,,Понеділок 29-го тижня,
"Лк. 103 зач.; 20, 45 – 21, 4.",Лк.,103,,,Субота 34-го тижня,
"Лк. 104 зач.; 21, 5-7; 10-11; 20-24.",Лк.,104,,,Середа 29-го тижня,
"Лк. 105 зач.; 21, 8-9; 25-27; 33-36.",Лк.,105,,,Субота м'ясопусна,
"Лк. 106 зач.; 21, 12-19.",Лк.,106,,,Вівторок 29-го тижня,
"Лк. 107 зач.; 21, 28-33.",Лк.,107,,,Четвер 29-го тижня,
"Лк. 108 зач.; 22, 1-39.",Лк.,108,a,,"В святий і великий четвер на Утрені до зач. 109, не переступаючи",тут читання має бути комбіноване з декількох
"Лк. 108 зач.; 21, 37 – 22, 8.",Лк.,108,b,,П'ятниця 29-го тижня,
"Лк. 109 зач.; 22, 39-42; 45 – 23, 1.",Лк.,109,,,Вівторок сирного тижня,
"Лк. 110 зач.; 23, 1-34; 44-56.",Лк.,110,,,Четвер сирного тижня,
"Лк. 111 зач.; 23, 32-49.",Лк.,111,,,Євангеліє 8-ме страстей. Це ж і на 6-му Часі в велику п'ятниці,
"Лк. 112 зач.; 24, 1-12.",Лк.,112,,,Євангеліє 4-те воскресне,
"Лк. 113 зач.; 24, 12-35.",Лк.,113,,,"Вівторок світлого тижня, це й 5-те воскресне",
"Лк. 114 зач.; 24, 36-53.",Лк.,114,,,Євангеліє 6-те воскресне. Це й на Літургії Вознесіння,
"Мр. 1 зач.; 1, 1-8.",Мр.,1,,,Неділя перед Богоявленням. Це ж і на 3-му Часі в навечір'я Богоявлення,
"Мр. 2 зач.; 1, 9-15.",Мр.,2,,?,Понеділок 12-го тижня. Це ж і на 6-му Часі в навечір'я Богоявлення.,
"Мр. 2 зач.; 1, 9-11.",Мр.,2,,?,На Богоявлення на Утрені,
"Мр. 3 зач.; 1, 16-22.",Мр.,3,,,Вівторок 12-го тижня,
