Month,Day,Bold,Italic,Red,I.Symb,I.Code,I.Html,ShortText,FullText,ShorterText,,,,,,VLOOKUP,,,Місяць,День,Ім'я
10,31,,,,,,,Св. мч. Єпімаха,Святого мученика Єпімаха,,,,1031,"апп.Стахія,Амплія",,"апп.Стахія,Амплія",,1216,12,16,Аггея
11,1,,,r,🕂,+,&dagger;,"🕂 Сщмч. Теодора Ромжі, єп. Мукачівського","🕂Священномученика Теодора Ромжі, єпископа Мукачівського",сщмч.Теодора Ромжі,,,111,свсмч.Теодора Ромжі,,свсмч.Теодора Ромжі,,1217,12,17,"Даниїла, трьох отроків"
11,1,,,,🕃,&,,🕃 Свв. чудотв. і безср. Косми й Дам’яна,🕃 Святих чудотворців і безсрібників Косми й Дам’яна,,,,111,свсмч.Теодора Ромжі,,свсмч.Теодора Ромжі,,1218,12,18,свв.Отців
11,2,,,,,,,"Свв. мчч. Акиндина, Пигасія, Афтонія, Єлпидифора й Анемподиста","Святих мучеників Акиндина, Пигасія, Афтонія, Єлпидифора й Анемподиста",мчч. Акиндина та ін.,,,112,мчч. Акиндина та ін.,,мчч. Акиндина та ін.,,1219,12,19,Боніфатія
11,3,,,,,,,"Свв. мчч. Акепсими, єп., Йосифа, пресвіт., і Аїтала, дияк.","Святих мучеників Акепсими, єпископа, Йосифа, пресвітера, і Аїтала, диякона",мчч.Апексими та ін.,,,113,мчч.Апексими та ін.,,мчч.Апексими та ін.,,1220,12,20,Ігнатія Богоносця
11,3,,,,,,,"Оновлення храму св. вмч. Юрія, що в Лідді, де спочиває його чесне тіло","Оновлення храму Святого великомученика Юрія, що в Лідді, де спочиває його чесне тіло",,,,113,мчч.Апексими та ін.,,мчч.Апексими та ін.,,1221,12,21,Юліанії
11,4,,,,,,,Прп. Йоанікія Великого,Преподобного отця нашого Йоанікія Великого,прп.Йоаникія Великого,,,114,,,прп.Йоаникія Великого,,1222,12,22,Анастасії
11,4,,,,,,,"Св. мч. Нікандра, єп. Мирського","Святого мученика Нікандра, єпископа Мирського",,,,114,прп.Йоаникія Великого,,прп.Йоаникія Великого,,1223,12,23,мчч. в Кріті
11,4,,,,,,,"Св. Єрмея, пресвіт.","Святого Єрмея, пресвітера",,,,114,прп.Йоаникія Великого,,прп.Йоаникія Великого,,1224,12,24,Навечіря Різдва-Євгенії
11,5,,,,,,,Свв. мчч. Галактіона і Єпістими,Святих мучеників Галактіона і Єпістими,мчч.Галактіона і Епістими,,,115,мчч.Галактіона і Епістими,,мчч.Галактіона і Епістими,,1225,12,25,РІЗДВО ХРИСТОВЕ
11,6,,,,🕃,&,,"🕃 Св. Павла, архиєп. Царгородського, ісп.","🕃 Святого Павла, архиєпископа Царгородського, ісповідника",св. Павла,,,116,св. Павла,,св. Павла,,1226,12,26,Собор Пресвятої Богородиці
11,7,,,,,,,"Свв. тридцяти трьох мчч., що в Мелітині","Святих тридцяти трьох мучеників, що в Мелітині","мчч., що в Елітині",,,117,"мчч., що в Елітині",,"мчч., що в Елітині",,1227,12,27,первомч.Стефана
11,7,,,,,,,"Прп. і чудотв. Лазаря, що постив на Галисійській горі","Преподобного отця нашого і чудотворця Лазаря, що постив на Галисійській горі",,,,117,"мчч., що в Елітині",,"мчч., що в Елітині",,1228,12,28,20000 мчч.
11,8,,i,r,🕁,*,&dagger;,🕁 Собор св. архистр. Михаїла та інших безтілесних сил,🕁 Собор святого архистратига Михаїла та інших безтілесних сил,арх.Михаїла,,,118,арх.Михаїла,,арх.Михаїла,,1229,12,29,свв.младенців Вифлеємських
11,9,,,,,,,Свв. мчч. Онисифора й Порфирія,Святих мучеників Онисифора й Порфирія,мчч.Онисифора й Порфирія,,,119,мчч.Онисифора й Порфирія,,Макарія Єгипетського,,1230,12,30,Анісії
11,9,,,,,,,Прп. Матрони,Преподобної матері нашої Матрони,,,,119,мчч.Онисифора й Порфирія,,Макарія Єгипетського,,1231,12,31,Меланії Римлянки
