Мр. 49 зач.; 11, 1-11.
Мр. 64 зач.; 14, 10-42.
Лк. 8 зач.; 2, 25-32.
Лк. 7 зач.; 2, 22-40.
Мр. 66 зач.; 15, 1-15.
Мр. 68 зач.; 15, 22; 25; 33-41.
Лк. 105 зач.; 21, 8-9; 25-27; 33-36.
Йо. 16 зач.; 5, 24-30.
Мр. 71 зач.; 16, 9-20.
Мт. 106 зач.; 25, 31-46.
Лк. 96 зач.; 19, 29-40; 22, 7-39.
Лк. 109 зач.; 22, 39-42; 45 – 23, 1.
Лк. 110 зач.; 23, 1-34; 44-56.
Мт. 16 зач.; 6, 1-13.
Мт. 43 зач.; 11, 27-30.
Лк. 112 зач.; 24, 1-12.
Мт. 17 зач.; 6, 14-21.
Мр. 10 зач.; 2, 23 – 3, 5.
Йо. 52 зач.; 15, 17 – 16, 2.
Лк. 113 зач.; 24, 12-35.
Йо. 5 зач.; 1, 43-51.
Мр. 6 зач.; 1, 35-44.
Йо. 16 зач.; 5, 24-30.
Лк. 114 зач.; 24, 36-53.
Мр. 7 зач.; 2, 1-12.
Мр. 8 зач.; 2, 14-17.
Йо. 16 зач.; 5, 24-30.
Йо. 63 зач.; 20, 1-10.
Мр. 37 зач.; 8, 34 – 9, 1.
Мр. 31 зач.; 7, 31-37.
Йо. 16 зач.; 5, 24-30.
Йо. 64 зач.; 20, 11-18.
Мр. 40 зач.; 9, 17-31.
Мт. 10 зач.; 4, 25 – 5, 12.
Мр. 35 зач.; 8, 27-31.
Лк. 54 зач.; 10, 38-42; 11, 27-28.
Йо. 65 зач.; 20, 19-31.
Мр. 47 зач.; 10, 32-45.
Лк. 4 зач.; 1, 39-49; 56.
Лк. 3 зач.; 1, 24-38.
Йо. 39 зач.; 11, 1-45.
Мт. 83 зач.; 21, 1-11; 15-17.
Йо. 41 зач.; 12, 1-18.
Мт. 84 зач.; 21, 18-43.
Мт. 98 зач.; 24, 3-35.
Мт. 90 зач.; 22, 15 – 23, 39.
Мт. 102 зач.; 24, 36 – 26, 2.
Йо. 41 зач.; 12, 17-50.
Мт. 108 зач.; 26, 6-16.
Лк. 108 зач.; 22, 1-39.
Мт. 107 зач.; 26, 1-20; Йо. 13, 3-17; Мт. 26, 21-39; Лк. 22, 43-45; Мт. 26, 40 – 27, 2.
Йо. 44 зач.; 13, 1-11.
Йо. 45 зач.; 13, 12-17.
Мт. 110 зач.; 27, 1-56.
Мр. 67 зач.; 15, 16-41.
Лк. 111 зач.; 23, 32-49.
Йо. 59 зач.; 18, 28 – 19, 37.
